kappa_target,method,mse_mean,mse_std,support_recall_mean,support_precision_mean,rel_err_mean,rel_err_std
50,EN_Dynamic,1.2880272007199145,0.5868780512531319,0.65,0.6094047619047619,0.9498723207318687,0.03282692895583443
50,EN_Fixed,0.05241376722622019,0.22885878726592873,1.0,0.657063492063492,0.04596801828298819,0.14831863233057113
50,Lasso,0.030015998194362896,0.13352355702115334,1.0,0.6965079365079366,0.028949947037707913,0.11382398530850743
50,OMP,2.031116796330287,4.889701788792232,0.6875,0.6875,0.7658406257875103,0.8580202728803255
50,Ridge,0.8053567598232785,1.0923543774911353,1.0,0.4000000000000001,0.6627546703916447,0.4154339164932624
100,EN_Dynamic,1.0431741773301468,0.4848822113511448,0.725,0.5074206349206348,0.9166788144872722,0.05549931935898591
100,EN_Fixed,0.028926402788041178,0.08309206955986127,0.9875,0.6269841269841271,0.09319682393632463,0.21207043019451008
100,Lasso,0.03687585621897181,0.14086136329488244,0.9625,0.6782936507936508,0.08296508848381791,0.2685823208161132
100,OMP,1.2206680221283284,2.4017326644734642,0.6625,0.6625,0.7094284994354043,0.8306656117562844
100,Ridge,0.2098162248690368,0.1938391446817734,1.0,0.4000000000000001,0.3900643424720106,0.22769743498716485
200,EN_Dynamic,1.0915775333357185,0.4915586990524563,0.625,0.5071428571428571,0.9356574630980402,0.05389003029045187
200,EN_Fixed,0.0962415115607272,0.28345410471639115,0.9625,0.6220039682539683,0.09987071955295344,0.18634337595514
200,Lasso,0.038103227282412735,0.1642286704947892,0.975,0.7023214285714288,0.03880580958369101,0.12529504498335667
200,OMP,0.839295016437777,1.1125062986755023,0.675,0.675,0.6323885076551748,0.5889047249821101
200,Ridge,0.40737415214960065,0.32644116781468563,1.0,0.4000000000000001,0.5433005560157758,0.13465165778363306
300,EN_Dynamic,1.1780041587883772,0.44535355816660144,0.65,0.5913888888888887,0.9264208715390951,0.06631935077065658
300,EN_Fixed,0.05336186269119686,0.15790419400220224,1.0,0.6682539682539683,0.09218116827878745,0.15458996691096283
300,Lasso,0.04503319327088824,0.15698519240348605,1.0,0.7513492063492065,0.056336095477769785,0.15025614709123308
300,OMP,1.5378967794017155,2.3750271111589747,0.6625,0.6625,0.7768854045525037,0.6866315972335171
300,Ridge,0.3704355575660556,0.27351453917824553,1.0,0.4000000000000001,0.49687656258703977,0.1473869470479189
500,EN_Dynamic,0.7323287040937532,0.43578358061179073,0.8125,0.6182142857142856,0.8324302645819645,0.10571677554541245
500,EN_Fixed,0.07816550784026875,0.29685978323395734,1.0,0.7063492063492063,0.07516897978532927,0.20322265434711517
500,Lasso,0.0033006505395644413,0.008850142315787297,1.0,0.7833333333333332,0.031962443617620115,0.08245442891549071
500,OMP,0.5646252119421288,0.7844023709627305,0.7625,0.7625,0.4906530757960912,0.5013474501757467
500,Ridge,0.348642254796133,0.2371004635385592,1.0,0.4000000000000001,0.5592772019265599,0.19736450510012635
1000,EN_Dynamic,0.5202257945513934,0.8690520011345918,0.9125,0.6925198412698412,0.5810299501160077,0.3684488627254248
1000,EN_Fixed,0.0945079359645473,0.23083737874531152,0.9875,0.6818253968253968,0.15635956883959207,0.28767233455051755
1000,Lasso,0.06508068075121592,0.21969078961611077,1.0,0.7396031746031747,0.1012250132364974,0.26329739522399426
1000,OMP,3.363326079943504,7.686723422502335,0.6125,0.6125,1.1884286039128886,1.161782658331485
1000,Ridge,0.7936205172477553,1.5522625683108011,1.0,0.4000000000000001,0.7269127606478876,0.3721878949827199
